id,name,category,description,location,address,phone,email,website,english_fluency,verified,featured,featured_tier,base_distance,notes,image_url,status,created_at,updated_at,bases_served,latitude,longitude,google_maps_url,subcategory,is_on_base
0b0b0b0b-0c0c-4d0d-0e0e-0f0f0f0f0f0f,NKD Ramstein,shopping,Discount fashion retailer near Ramstein.,"Ramstein-Miesenbach, Rhineland-Palatinate",,,,,fluent,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""ramstein""]",,,,clothing,false
0b1c2d3e-4f5a-4b6c-7d8e-9f0a1b2c3d4e,Hans im Glück,restaurants,Burger restaurant in Kaiserslautern.,"Kaiserslautern, Rhineland-Palatinate",,,,,fluent,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""kaiserslautern""]",,,,american-food,false
0c878ec6-5838-41e1-8d1e-2adbd4c5db50,GTÜ Schönaich,automotive,Vehicle inspection and TÜV services near USAG Stuttgart.,"Schönaich, Baden-Württemberg",,,,,conversational,false,false,,,,,active,2025-10-24 23:09:34.792943+00,2025-10-25 10:30:47.375705+00,"[""stuttgart""]",,,,inspection-stations,false
0d0d0d0d-0e0e-4f0f-0a0a-0b0b0b0b0b0b,Königsbau Passagen,shopping,Shopping arcade in Stuttgart city center.,"Stuttgart, Baden-Württemberg",,,,,fluent,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""stuttgart""]",,,,malls,false
0d0e0f0a-0b0c-4d0e-0f0a-0b0c0d0e0f0a,H. Gugel GmbH,shopping,Local retail store.,"Grafenwöhr, Bavaria",,,,,conversational,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""grafenwoehr""]",,,,general,false
0d1e2f3a-4b5c-4d6e-7f8a-9b0c1d2e3f4a,King's Palace,restaurants,Restaurant in Vaihingen.,"Vaihingen, Baden-Württemberg",,,,,conversational,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""stuttgart""]",,,,international,false
0d4d11e9-8ce4-46ac-bbbb-39f74e173ff9,American Business Center - Grafenwöhr,automotive,"Multiple locations: Outside Vilseck main gate, Grafenwöhr Gate 3 & Gate 6. Full auto sales and service for military.",Grafenwöhr,"Locations at Vilseck main gate, Graf Gate 3 & 6",+49 6371 597 4719,info@american-business-center.com,,fluent,false,false,,,Multiple convenient locations,,active,2025-10-30 23:40:37.272891+00,2025-10-31 23:03:19.455584+00,"[""grafenwoehr""]",,,,Car Sales/Service,false
0eed45f1-68fb-4756-8949-7def46e93a41,The Used Car Guys - Stuttgart,automotive,Full-service used car dealership specializing in quality pre-owned vehicles for American military.,"Stuttgart area, Baden-Württemberg","Robert-Bosch-Straße 6, 71101 Schönaich",+49 151 6522 7520,stuttgart@usedcarguys.net,https://www.usedcarguys.net,fluent,true,true,,"4km from the Panzer gate. ",,UCG-Stuttgart.jpg,active,2025-10-25 09:46:20.926948+00,2025-10-26 13:31:04.865287+00,"[""stuttgart""]",48.66440000,9.07140000,"https://maps.google.com/?q=48.6644,9.0714",car-dealerships,false
0f0f0f0f-0a0a-4b0b-0c0c-0d0d0d0d0d0d,Intersport Schlemmer,shopping,Sports equipment store.,"Kaiserslautern, Rhineland-Palatinate",,,,,fluent,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""kaiserslautern""]",,,,sports,false
0f1a2b3c-4d5e-4f6a-7b8c-9d0e1f2a3b4c,"King's Diner -Döner, Pizza, Burger",restaurants,Diner near Spangdahlem with multiple cuisines.,"Spangdahlem, Rhineland-Palatinate",,,,,fluent,false,false,,,,,active,2025-10-29 00:00:00+00,2025-10-29 00:00:00+00,"[""spangdahlem""]",,,,american-food,false
